127.0.0.1, 2019-07-06 16:52:37, GET, /, HTTP/1.1, 303, 0.005000
127.0.0.1, 2019-07-06 16:52:39, GET, /welcome/default/index, HTTP/1.1, 200, 1.358000
127.0.0.1, 2019-07-06 16:52:39, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-07-06 16:52:39, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2019-07-06 16:52:39, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/default/index, HTTP/1.1, 200, 0.450000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.026000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.031000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 16:52:48, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-07-06 16:52:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-07-06 16:52:52, POST, /admin/default/index, HTTP/1.1, 303, 0.079000
127.0.0.1, 2019-07-06 16:52:52, GET, /admin/default/site, HTTP/1.1, 200, 0.139000
127.0.0.1, 2019-07-06 16:52:52, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.064000
